DEPTH,GR,NPHI,RHOB,RT,vcl,phie,phit
4208.5,80.36,0.35,2.3,1.79,0.58,0.13,0.26
4209.0,81.65,0.36,2.29,1.77,0.6,0.13,0.26
4209.5,82.49,0.37,2.29,1.76,0.61,0.12,0.27
4210.0,83.15,0.37,2.29,1.74,0.62,0.12,0.27
4210.5,84.2,0.38,2.3,1.73,0.62,0.11,0.27
4211.0,85.13,0.38,2.3,1.72,0.64,0.11,0.27
4211.5,86.27,0.38,2.31,1.72,0.65,0.1,0.26
4212.0,87.21,0.38,2.32,1.73,0.66,0.09,0.26
4212.5,87.38,0.37,2.33,1.76,0.66,0.08,0.25
4213.0,86.61,0.37,2.33,1.78,0.65,0.08,0.25
4213.5,85.62,0.37,2.33,1.79,0.64,0.08,0.25
4214.0,85.47,0.37,2.33,1.81,0.64,0.08,0.25
4214.5,85.3,0.37,2.34,1.83,0.64,0.08,0.25
4215.0,84.68,0.37,2.33,1.86,0.63,0.08,0.25
4215.5,82.54,0.36,2.33,1.88,0.61,0.09,0.25
4216.0,80.27,0.36,2.32,1.9,0.57,0.1,0.25
4216.5,75.18,0.35,2.32,1.94,0.52,0.11,0.25
4217.0,69.78,0.33,2.33,2.0,0.45,0.11,0.24
4217.5,64.35,0.31,2.33,2.05,0.39,0.12,0.22
4218.0,61.69,0.29,2.33,2.11,0.37,0.14,0.22
4218.5,60.72,0.27,2.32,2.17,0.36,0.16,0.22
4219.0,60.63,0.26,2.31,2.23,0.36,0.17,0.22
4219.5,60.8,0.26,2.31,2.29,0.37,0.17,0.22
4220.0,61.01,0.25,2.32,2.33,0.37,0.17,0.22
4220.5,61.03,0.25,2.35,2.37,0.37,0.14,0.2
4221.0,60.84,0.26,2.37,2.4,0.37,0.1,0.2
4221.5,60.56,0.27,2.38,2.43,0.36,0.1,0.2
4222.0,60.05,0.27,2.38,2.45,0.36,0.1,0.2
4222.5,59.52,0.28,2.37,2.46,0.35,0.1,0.21
4223.0,59.23,0.28,2.36,2.48,0.35,0.12,0.21
4223.5,58.59,0.28,2.35,2.5,0.34,0.12,0.21
4224.0,57.56,0.28,2.35,2.52,0.33,0.12,0.21
4224.5,56.24,0.28,2.35,2.54,0.31,0.12,0.21
4225.0,55.97,0.27,2.34,2.54,0.31,0.15,0.22
4225.5,56.08,0.27,2.34,2.52,0.32,0.14,0.22
4226.0,55.92,0.26,2.35,2.5,0.31,0.12,0.2
4226.5,55.79,0.26,2.35,2.5,0.31,0.13,0.21
4227.0,55.34,0.27,2.33,2.53,0.31,0.15,0.22
4227.5,54.68,0.28,2.32,2.55,0.3,0.16,0.23
4228.0,53.85,0.28,2.3,2.56,0.29,0.17,0.23
4228.5,53.83,0.29,2.29,2.6,0.29,0.17,0.24
4229.0,54.38,0.3,2.27,2.63,0.3,0.19,0.25
4229.5,54.95,0.31,2.26,2.7,0.3,0.19,0.27
4230.0,55.59,0.33,2.25,2.81,0.31,0.19,0.27
4230.5,56.16,0.34,2.24,2.9,0.32,0.2,0.28
4231.0,55.75,0.35,2.23,3.03,0.31,0.2,0.29
4231.5,53.75,0.36,2.25,3.15,0.28,0.17,0.28
4232.0,50.32,0.36,2.25,3.29,0.24,0.17,0.28
4232.5,46.56,0.37,2.25,3.43,0.2,0.16,0.28
4233.0,45.59,0.37,2.24,3.58,0.2,0.17,0.29
4233.5,45.59,0.37,2.25,3.72,0.2,0.16,0.28
4234.0,45.39,0.37,2.26,3.87,0.2,0.15,0.28
4234.5,44.72,0.36,2.27,4.05,0.19,0.15,0.27
4235.0,43.33,0.35,2.29,4.24,0.17,0.14,0.26
4235.5,41.49,0.33,2.3,4.45,0.15,0.13,0.25
4236.0,40.17,0.32,2.32,4.6,0.13,0.13,0.24
4236.5,39.14,0.3,2.33,4.73,0.12,0.13,0.22
4237.0,39.05,0.28,2.34,4.85,0.13,0.13,0.22
4237.5,39.39,0.27,2.35,4.98,0.13,0.13,0.21
4238.0,39.48,0.25,2.38,5.14,0.13,0.1,0.19
4238.5,39.25,0.25,2.41,5.29,0.13,0.06,0.17
4239.0,38.44,0.24,2.43,5.4,0.12,0.06,0.17
4239.5,37.28,0.24,2.43,5.48,0.1,0.06,0.17
4240.0,36.23,0.23,2.42,5.52,0.09,0.08,0.17
4240.5,35.45,0.23,2.42,5.56,0.08,0.08,0.17
4241.0,34.68,0.23,2.42,5.59,0.08,0.08,0.17
4241.5,33.98,0.23,2.39,5.66,0.07,0.12,0.18
4242.0,33.34,0.24,2.37,5.75,0.06,0.13,0.2
4242.5,32.68,0.24,2.38,5.86,0.05,0.11,0.19
4243.0,31.83,0.25,2.38,5.94,0.04,0.11,0.19
4243.5,30.77,0.25,2.38,5.93,0.03,0.11,0.19
4244.0,29.85,0.25,2.4,5.87,0.02,0.09,0.18
4244.5,29.04,0.25,2.42,5.76,0.02,0.06,0.17
4245.0,28.56,0.25,2.42,5.61,0.01,0.07,0.18
4245.5,28.14,0.25,2.42,5.44,0.0,0.08,0.18
4246.0,27.92,0.25,2.43,5.23,0.0,0.05,0.17
4246.5,27.76,0.25,2.44,5.07,0.0,0.05,0.17
4247.0,27.87,0.25,2.44,4.95,0.0,0.05,0.17
4247.5,28.1,0.25,2.43,4.92,0.01,0.06,0.17
4248.0,28.31,0.25,2.41,4.93,0.01,0.09,0.18
4248.5,28.52,0.25,2.39,4.91,0.01,0.1,0.19
4249.0,28.75,0.25,2.39,4.78,0.01,0.1,0.19
4249.5,29.12,0.26,2.39,4.61,0.02,0.09,0.19
4250.0,29.82,0.27,2.4,4.38,0.03,0.08,0.19
4250.5,31.23,0.27,2.42,4.08,0.04,0.05,0.18
4251.0,32.54,0.28,2.44,3.83,0.06,0.02,0.17
4251.5,34.47,0.29,2.45,3.6,0.08,0.02,0.18
4252.0,37.11,0.3,2.43,3.35,0.11,0.02,0.18
4252.5,40.15,0.3,2.38,3.09,0.14,0.1,0.22
4253.0,44.91,0.3,2.35,2.74,0.19,0.12,0.22
4253.5,49.99,0.31,2.33,2.53,0.26,0.12,0.23
4254.0,57.28,0.32,2.31,2.3,0.34,0.14,0.24
4254.5,62.3,0.33,2.3,2.19,0.42,0.15,0.25
4255.0,69.45,0.33,2.28,2.07,0.47,0.16,0.26
4255.5,73.59,0.34,2.27,2.0,0.52,0.16,0.27
4256.0,76.13,0.35,2.26,1.93,0.55,0.16,0.27
4256.5,79.29,0.35,2.26,1.89,0.58,0.16,0.27
4257.0,81.25,0.36,2.26,1.86,0.6,0.16,0.28
4257.5,83.32,0.35,2.25,1.84,0.62,0.18,0.28
4258.0,85.13,0.35,2.26,1.82,0.64,0.17,0.27
4258.5,85.92,0.37,2.26,1.81,0.65,0.15,0.28
4259.0,84.95,0.37,2.26,1.8,0.64,0.15,0.28
4259.5,82.95,0.38,2.26,1.82,0.61,0.15,0.28
4260.0,80.23,0.37,2.26,1.84,0.57,0.15,0.28
4260.5,78.72,0.37,2.26,1.86,0.56,0.15,0.28
4261.0,77.53,0.36,2.3,1.89,0.55,0.11,0.26
4261.5,76.62,0.36,2.32,1.92,0.54,0.09,0.25
4262.0,75.28,0.35,2.33,1.96,0.52,0.1,0.24
4262.5,73.65,0.34,2.34,1.98,0.51,0.1,0.24
4263.0,72.66,0.33,2.34,2.0,0.5,0.1,0.23
4263.5,71.69,0.33,2.33,2.02,0.48,0.11,0.24
4264.0,70.78,0.32,2.34,2.03,0.48,0.11,0.23
4264.5,70.28,0.31,2.35,2.02,0.47,0.11,0.22
4265.0,69.73,0.31,2.34,2.01,0.46,0.12,0.23
4265.5,69.03,0.31,2.33,1.99,0.46,0.14,0.24
4266.0,68.28,0.3,2.32,1.97,0.45,0.14,0.23
4266.5,67.83,0.3,2.32,1.95,0.44,0.14,0.23
4267.0,67.86,0.3,2.31,1.92,0.44,0.15,0.24
4267.5,68.23,0.3,2.3,1.9,0.45,0.17,0.24
